Method       t0       tn       N         h
Verlet  0.0e+00  2.0e+00    1826 1.096e-03

rx  -  ry  -  vx  -  vy
-8.547731e-01   5.190443e-01  -3.261141e+00  -5.370441e+00
-8.583267e-01   5.131465e-01  -3.224086e+00  -5.392768e+00
-8.618396e-01   5.072245e-01  -3.186877e+00  -5.414840e+00
-8.653116e-01   5.012784e-01  -3.149518e+00  -5.436654e+00
-8.687426e-01   4.953085e-01  -3.112009e+00  -5.458211e+00
-8.721325e-01   4.893152e-01  -3.074353e+00  -5.479509e+00
-8.754809e-01   4.832987e-01  -3.036552e+00  -5.500547e+00
-8.787879e-01   4.772592e-01  -2.998606e+00  -5.521324e+00
-8.820532e-01   4.711971e-01  -2.960518e+00  -5.541840e+00
-8.852767e-01   4.651127e-01  -2.922289e+00  -5.562093e+00
-8.884582e-01   4.590062e-01  -2.883922e+00  -5.582082e+00
-8.915976e-01   4.528780e-01  -2.845419e+00  -5.601807e+00
-8.946948e-01   4.467283e-01  -2.806780e+00  -5.621266e+00
-8.977495e-01   4.405574e-01  -2.768009e+00  -5.640458e+00
-9.007616e-01   4.343657e-01  -2.729106e+00  -5.659383e+00
-9.037311e-01   4.281533e-01  -2.690074e+00  -5.678040e+00
-9.066577e-01   4.219206e-01  -2.650914e+00  -5.696428e+00
-9.095413e-01   4.156680e-01  -2.611629e+00  -5.714545e+00
-9.123818e-01   4.093956e-01  -2.572220e+00  -5.732392e+00
-9.151791e-01   4.031038e-01  -2.532689e+00  -5.749966e+00
-9.179329e-01   3.967929e-01  -2.493037e+00  -5.767269e+00
-9.206432e-01   3.904632e-01  -2.453268e+00  -5.784297e+00
-9.233099e-01   3.841150e-01  -2.413382e+00  -5.801052e+00
-9.259329e-01   3.777486e-01  -2.373382e+00  -5.817531e+00
